Registration Number,Annual Turnover
20001,29934400.397985186
20002,38455367.39652945
20003,29066398.917882767
20004,47551751.884217285
20005,49117456.761398606
20006,38784004.56312554
20007,39605138.963221736
20008,52224621.930321135
20009,29138228.87245968
20010,23748428.74310835
20011,27619253.153492853
20012,34976149.36821712
20013,38518946.5716759
20014,22572642.7897689
20015,23615415.41822732
20016,37266787.90687126
20017,41789081.8125478
20018,17139059.193136193
20019,42952068.65068223
20020,25583793.98466905
20021,21166429.85428108
20022,36315707.89569518
20023,26057684.463592384
20024,22622091.340329975
20025,35709037.26329523
20026,23928857.924809646
20027,35674612.500396095
20028,36092727.883574285
20029,35608429.01612719
20030,25467442.01120698
20031,40150818.56454716
20032,38641757.308389924
20033,30340633.505466808
20034,34935245.842694394
20035,26821871.004876494
20036,26675363.19044699
20037,38764375.94162702
20038,33082556.02831584
20039,24465371.185043428
20040,26865878.8689259
20041,27538991.19249171
20042,26560945.852368344
20043,25450528.039367814
20044,26069786.83188955
20045,39104951.6520439
20046,17263834.392780576
20047,21538277.56749624
20048,41443055.26652761
20049,27355048.348380614
20050,29750674.13819794
20051,40195898.335161135
20052,40457633.10247176
20053,23778855.188435543
20054,25224528.11369032
20055,37326915.604816526
20056,34886001.45754785
20057,24010154.307383027
20058,33699464.09274595
20059,29746116.078947235
20060,29479082.967798393
20061,25463069.74869634
20062,29901454.970584214
20063,33663755.04369526
20064,51050126.93560106
20065,31269758.757187143
20066,34804532.57912665
20067,23602383.587080557
20068,23684771.901380435
20069,25954193.26001871
20070,48963426.50832345
20071,27231346.679256532
20072,28050431.095419507
20073,28853174.959136743
20074,25625637.208509773
20075,23228313.37701044
20076,35642511.490285166
20077,34226523.14612434
20078,32422969.171238676
20079,27680413.79544119
20080,24589482.00003564
20081,34905179.25052577
20082,34455545.6758666
20083,33744321.32137557
20084,35254730.5666768
20085,33027891.08032645
20086,27785827.84944989
20087,25967650.75140292
20088,40637246.41658323
20089,44904512.40740213
20090,30691374.809482694
20091,31996660.407403667
20092,17796199.361180067
20093,28723854.00634332
20094,18944070.51043388
20095,36783233.64664516
20096,37780779.4668382
20097,28248969.767778307
20098,33295011.693846133
20099,33320565.89587603
20100,28941000.10044505
20101,32616924.367731333
20102,34180823.41251578
20103,34738703.19750628
20104,23878858.40157189
20105,43799470.027095616
20106,37813852.08820615
20107,30090313.071012508
20108,30677849.24466105
20109,30752703.220889356
20110,20752436.101856306
20111,30821254.20707341
20112,35678112.01889527
20113,26468846.741505772
20114,37536587.97398711
20115,37271707.35609157
20116,53361990.02801085
20117,19855143.398409083
20118,38367873.966902934
20119,26731067.904382616
20120,51264021.09033065
20121,31831195.82357521
20122,30140449.56311378
20123,30501671.847737122
20124,18907348.198692977
20125,51206607.83475765
20126,28821938.262466833
20127,24114525.70807032
20128,19402972.473632637
20129,31419476.56101654
20130,35543512.39781027
20131,25853149.940707494
20132,20991741.148250636
20133,29334589.69241674
20134,35446076.961772256
20135,34743746.99482525
20136,26049522.24125888
20137,35861553.10246801
20138,31540796.25076863
20139,36622971.289261885
20140,26616016.78000182
20141,37712275.39011432
20142,31399043.01826666
20143,32897681.02674532
20144,23086272.033251386
20145,22351494.836686935
20146,28891856.826142903
20147,44014121.89750875
20148,31077546.011090185
20149,31915833.717141915
20150,24328076.57389195
20151,39188248.28434093
20152,21463463.694118846
20153,24328671.158055644
20154,27460533.06925637
20155,37710451.87376481
20156,22016808.060644105
20157,30557618.200796813
20158,38336464.05730116
20159,33326458.696718723
20160,31521615.04779731
20161,31451333.974656645
20162,27513292.536206048
20163,36717115.20823897
20164,38420434.672905564
20165,30062115.795541633
20166,50938304.92668269
20167,26803422.13017887
20168,26175351.24860015
20169,35661577.58903689
20170,26159196.01194635
20171,45873682.75181649
20172,35013735.88513983
20173,21311855.547714807
20174,36583701.87954206
20175,30897430.064018697
20176,36418824.40070373
20177,32534612.551399548
20178,28222127.09344236
20179,26059680.641271953
20180,36188003.02881402
20181,44336631.65463106
20182,39900692.71593132
20183,25975421.36648793
20184,29158730.341860652
20185,26323045.12051067
